"Section/Rule","Context/Area","Question","Responsible Party/Subject","T-Level"
"A17.4.1.1.1.","Identification (AD Sanctuary)","Will HQ RIO Det/CCs, FSS/Career Dev Element, and HQ RIO monitor and process waivers?","HQ RIO Det/CCs, FSS/Career Dev Element, HQ RIO","T-1"
"A17.4.1.1.2.","Identification (AD Sanctuary)","Will AROWS identify members approaching sanctuary and alert authorities?","AROWS","T-1"
"A17.4.1.2.2.","Identification (ANG)","Will ANG ROWS flag orders bringing member beyond 16 years TAFMS?","ANG ROWS","T-1"
"A17.4.1.2.2.","Identification (ANG)","Will member complete waiver prior to order approval?","Member","T-1"
"A17.4.1.3.","Identification (ANG)","Will same procedures be followed for Title 32 Special Training orders?","Same procedures","T-1"
"A17.4.1.4.","Identification (ANG)","Will SOU acknowledge waiver requirement?","SOU","T-1"
"A17.5.1.1.","Order Types (ADOS/RPA/MPA/ADT/ST)","Will signed/approved waiver be completed prior to tour start?","Signed/approved waiver","T-1"
"17.5.1.1.","ADOS/RPA/MPA/ADT/ST","Will members be unable to commence tour without approved waiver?","Members","T-1"
"17.5.2.","ADOS/RPA/MPA/ADT/ST","Will member be unable to begin tour without approved waiver?","Member","T-1"
"17.5.3.","ADOS/RPA/MPA/ADT/ST","Will same sanctuary procedures be followed?","Same sanctuary procedures","T-1"
"17.6.1.","Sanctuary Processes (AFR)","Will ARPC/DPA maintain responsibility?","ARPC/DPA","T-1"
"17.6.1.","Sanctuary Processes (AFR)","Will required documents be submitted to ARPC/DPAA?","Required documents","T-1"
"17.6.1.","Sanctuary Processes (AFR)","Will member be assigned based on AFR needs?","Member","T-1"
"17.6.1.","Sanctuary Processes (AFR)","Will assignment terminate upon retirement eligibility?","Assignment","T-1"
"17.6.2.","Sanctuary Processes (ANG)","Will State provide employment using current AGR resources?","State","T-1"
"17.6.2.","Sanctuary Processes (ANG)","Will NGB/A1 provide additional resources?","NGB/A1","T-1"
"17.6.2.","Sanctuary Processes (ANG)","Will member be assigned based on State needs?","Member","T-1"
"17.6.2.","Sanctuary Processes (ANG)","Will assignment terminate upon retirement eligibility?","Assignment","T-1"
"17.6.3.","Sanctuary Processes (RegAF Exceptions)","Will member be gained to RegAF if approved by SAF/MR?","Member","T-1"
"17.7.3.","Continuation Medical Eval","Will member continue on AD under 10 USC 12301(h) if fit and no waiver?","Member","T-1"
"17.8.1.1.","Processing Waivers","Will waiver accompany AD tour request or be on file?","Waiver","T-1"
"17.8.1.1.","Processing Waivers","Will tour not be approved or orders published otherwise?","Tour","T-1"
"17.8.1.2.","Processing Waivers","Will ARC members ensure requests received NLT 45 days before tour start?","ARC members","T-1"
"17.8.2.","Processing Waivers","Will copy of signed SOU be kept on file?","Copy of signed SOU","T-1"
"17.10.1.","Demobilization/Sanctuary","Will NAF/Wing/HQ RIO/ANG wings establish accountability procedures?","NAF/Wing/HQ RIO/ANG wings","T-1"
"A18.3.","Procedures (Diverse Slates - Hiring)","Will Hiring Official ensure diverse slate for Key Dev Assignments?","Hiring Official","T-2"
"A18.4.","Procedures (Diverse Slates - Hiring)","Will Hiring Official submit waiver if diverse slate not possible?","Hiring Official","T-2"
"A18.5.","Procedures (Diverse Slates - Hiring)","Will waiver request require justification and efforts made?","Waiver request","T-2"
"A18.6.","Procedures (Diverse Slates - Hiring)","Will waiver be submitted to AF/A1/SF/S1 or designated rep?","Waiver","T-2"
"A19.2.","Procedures (Diverse Panels - Selection Boards)","Will Selection Board Secretariat ensure diverse panel members?","Selection Board Secretariat","T-2"
"A19.3.","Procedures (Diverse Panels - Selection Boards)","Will Selection Board Secretariat submit waiver if diverse panel not possible?","Selection Board Secretariat","T-2"
"A19.4.","Procedures (Diverse Panels - Selection Boards)","Will waiver request require justification and efforts made?","Waiver request","T-2"
"A19.5.","Procedures (Diverse Panels - Selection Boards)","Will waiver be submitted to AF/A1/SF/S1 or designated rep?","Waiver","T-2"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will overage status be withdrawn at any time?","Overage status","T-3"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will member be assigned to ARPC within 180 days or waiver expiration?","Member","T-3"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will member make every effort to locate vacant position?","Member","T-3"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will TSgts not fill SSgt or below positions unless voluntarily demoted?","TSgts","T-3"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will Captains selected for promotion vacate position within 180 days or waiver expiration?","Captains","T-3"
"A21 Figure A21.1 Note 1","Sample SOU (Overage)","Will EFI/Force Reduction overages be assigned to ARPC or retired?","EFI/Force Reduction overages","T-3"
